Features kept,wasserstein (acc / fit s),bhattacharyya (acc / fit s),composite (acc / fit s)
1,0.6709 / 0.13,0.9967 / 0.11,0.4267 / 0.11
2,0.7146 / 0.14,0.9999 / 0.11,0.4267 / 0.11
3,0.7203 / 0.15,0.9999 / 0.11,0.8822 / 0.12
4,0.7286 / 0.17,0.9999 / 0.12,0.8822 / 0.13
5,0.7286 / 0.17,0.9999 / 0.12,0.9292 / 0.14
7,0.7295 / 0.18,0.9999 / 0.13,0.9999 / 0.15
10,0.8096 / 0.20,0.9999 / 0.17,0.9989 / 0.17
15,0.8096 / 0.23,0.9999 / 0.23,0.9913 / 0.26
20,0.8083 / 0.27,0.9995 / 0.30,0.9918 / 0.28
