Dataset,Model,Metric,min/max,probability,luk,hamacher,einstein,Best (mean spread)
Concrete,flat MoG-TSK,R2,0.576 ± 0.037,0.605 ± 0.042,-0.507 ± 0.254,0.588 ± 0.041,0.607 ± 0.041,**einstein** (spread 1.114)
Concrete,flat MoG-TSK,RMSE (MPa),10.641 ± 0.545,10.265 ± 0.521,19.999 ± 1.550,10.492 ± 0.526,10.236 ± 0.517,**einstein** (spread 9.764)
Concrete,fuzzy tree (t-norm only),R2,0.708 ± 0.030,0.712 ± 0.030,0.713 ± 0.033,0.712 ± 0.030,0.713 ± 0.031,**luk** (spread 0.005)
Concrete,fuzzy tree (t-norm only),RMSE (MPa),8.829 ± 0.469,8.764 ± 0.521,8.755 ± 0.572,8.770 ± 0.492,8.760 ± 0.539,**luk** (spread 0.074)
Concrete,HME (experts only),R2,0.735 ± 0.040,0.745 ± 0.035,-1.084 ± 0.397,0.741 ± 0.038,0.744 ± 0.035,**probability** (spread 1.829)
Concrete,HME (experts only),RMSE (MPa),8.396 ± 0.457,8.233 ± 0.476,23.536 ± 2.384,8.299 ± 0.469,8.261 ± 0.506,**probability** (spread 15.303)
PhiUSIIL,flat MoG,accuracy,0.740 ± 0.033,0.729 ± 0.023,0.662 ± 0.020,0.752 ± 0.034,0.724 ± 0.019,**hamacher** (spread 0.090)
PhiUSIIL,fuzzy tree (t-norm only),accuracy,0.573 ± 0.003,0.573 ± 0.003,0.589 ± 0.047,0.573 ± 0.003,0.573 ± 0.003,**luk** (spread 0.016)
PhiUSIIL,HME (experts only),accuracy,0.727 ± 0.051,0.743 ± 0.044,0.739 ± 0.034,0.741 ± 0.046,0.749 ± 0.042,**einstein** (spread 0.022)
