Dataset,Task,Raw MF,MF @ 1x (Δ),Reduction @ 1x,Max-lossless ×,MF @ max-lossless (Δ),Reduction @ max-lossless
Glass,classification,81.4,71.0 (+0.0015 ± 0.0046 acc),12.8%,5×,61.3 (+0.0000 ± 0.0069 acc),24.7%
Wine,classification,16.6,16.6 (+0.0000 ± 0.0000 acc),0.0%,10×,14.6 (-0.0037 ± 0.0161 acc),12.0%
BreastCancer,classification,11.1,11.1 (+0.0000 ± 0.0000 acc),0.0%,5×,11.1 (+0.0000 ± 0.0000 acc),0.0%
Digits,classification,172.2,157.5 (+0.0009 ± 0.0028 acc),8.5%,7×,96.1 (-0.0117 ± 0.0211 acc),44.2%
Concrete,regression,63.2,62.6 (+0.0000 ± 0.0000 R²),0.9%,10×,58.4 (-0.0122 ± 0.0315 R²),7.6%
Diabetes,regression,41.6,36.2 (+0.0057 ± 0.0169 R²),13.0%,3×,26.8 (-0.0057 ± 0.0232 R²),35.6%
