Features kept,wasserstein (acc / fit s),bhattacharyya (acc / fit s),composite (acc / fit s)
1,0.9967 / 0.22,0.4267 / 0.15,0.4267 / 0.19
2,0.9967 / 0.19,0.4527 / 0.16,0.9967 / 0.21
3,0.9967 / 0.19,0.8447 / 0.19,0.9967 / 0.22
4,0.9967 / 0.21,0.9160 / 0.21,0.9966 / 0.24
5,0.9965 / 0.23,0.9467 / 0.25,0.9966 / 0.27
7,0.9998 / 0.24,0.9632 / 0.31,0.9967 / 0.33
10,0.9997 / 0.30,0.9701 / 0.40,0.9983 / 0.42
15,0.9957 / 0.43,0.9788 / 0.59,0.9999 / 0.52
20,0.9984 / 0.55,0.9796 / 0.66,0.9991 / 0.68
