Model,Hyperparameters,raw features,log + min-max,log + z-score,Δ min-max − raw,Δ z-score − raw,Δ z-score − min-max,RMSE raw (MPa),RMSE log+min-max (MPa),RMSE log+z-score (MPa)
CART (reference),sklearn default,0.825 ± 0.047,0.826 ± 0.047,0.826 ± 0.046,+0.001,+0.001,-0.000,6.744 ± 0.739,6.726 ± 0.740,6.733 ± 0.733
Random Forest (reference),sklearn default,0.909 ± 0.018,0.909 ± 0.019,0.909 ± 0.018,+0.000,+0.000,-0.000,4.904 ± 0.307,4.899 ± 0.313,4.903 ± 0.312
flat MoG-TSK 1st,pipeline default,0.695 ± 0.030,0.796 ± 0.018,0.713 ± 0.035,+0.101,+0.018,-0.083,9.022 ± 0.357,7.381 ± 0.339,8.743 ± 0.421
flat MoG-TSK 2nd,pipeline default,0.804 ± 0.030,0.841 ± 0.021,0.827 ± 0.028,+0.037,+0.023,-0.015,7.217 ± 0.531,6.499 ± 0.427,6.777 ± 0.473
flat MoG-TSK full-2nd,pipeline default,0.830 ± 0.025,0.861 ± 0.026,0.809 ± 0.115,+0.030,-0.021,-0.051,6.719 ± 0.444,6.072 ± 0.512,6.905 ± 1.718
fuzzy tree,demo-tuned,0.712 ± 0.030,0.740 ± 0.051,0.740 ± 0.051,+0.028,+0.028,-0.000,8.764 ± 0.521,8.294 ± 0.626,8.294 ± 0.626
fuzzy tree,library default,0.583 ± 0.067,0.689 ± 0.056,0.691 ± 0.055,+0.106,+0.108,+0.002,10.531 ± 0.889,9.066 ± 0.575,9.039 ± 0.572
mixture of experts,demo-tuned,0.775 ± 0.023,0.837 ± 0.027,0.837 ± 0.027,+0.062,+0.062,+0.000,7.754 ± 0.422,6.585 ± 0.466,6.577 ± 0.463
mixture of experts,library default,0.631 ± 0.114,0.758 ± 0.059,0.758 ± 0.059,+0.126,+0.127,+0.000,9.789 ± 1.384,7.995 ± 0.755,7.989 ± 0.753
