Dataset,Model,Metric,min/max,probability,luk,hamacher,einstein,Best (mean spread)
Concrete,flat MoG-TSK,R2,0.705 ± 0.050,0.687 ± 0.049,-3.774 ± 0.539,0.711 ± 0.050,0.678 ± 0.046,**hamacher** (spread 4.484)
Concrete,flat MoG-TSK,RMSE (MPa),8.847 ± 0.634,9.117 ± 0.621,35.645 ± 1.013,8.761 ± 0.657,9.258 ± 0.571,**hamacher** (spread 26.885)
Concrete,fuzzy tree (t-norm only),R2,0.708 ± 0.030,0.712 ± 0.030,0.713 ± 0.033,0.712 ± 0.030,0.713 ± 0.031,**luk** (spread 0.005)
Concrete,fuzzy tree (t-norm only),RMSE (MPa),8.829 ± 0.469,8.764 ± 0.521,8.755 ± 0.572,8.770 ± 0.492,8.760 ± 0.539,**luk** (spread 0.074)
Concrete,HME (experts only),R2,0.788 ± 0.025,0.774 ± 0.019,-3.592 ± 0.474,0.796 ± 0.024,0.761 ± 0.023,**hamacher** (spread 4.388)
Concrete,HME (experts only),RMSE (MPa),7.516 ± 0.393,7.777 ± 0.383,34.991 ± 1.301,7.371 ± 0.377,7.997 ± 0.469,**hamacher** (spread 27.620)
PhiUSIIL,flat MoG,accuracy,0.997 ± 0.001,0.997 ± 0.001,0.997 ± 0.001,0.997 ± 0.001,0.997 ± 0.001,**luk** (spread 0.000)
PhiUSIIL,fuzzy tree (t-norm only),accuracy,0.967 ± 0.003,0.967 ± 0.003,0.967 ± 0.003,0.967 ± 0.003,0.967 ± 0.003,**min/max** (spread 0.000)
PhiUSIIL,HME (experts only),accuracy,0.998 ± 0.001,0.998 ± 0.001,0.968 ± 0.001,0.998 ± 0.001,0.998 ± 0.001,**probability** (spread 0.031)
