Arm,MF count,Accuracy,Paired Δ vs. base
Base (no correction pass),81.4 ± 2.3,0.5323 ± 0.0408,—
"Gated cascade (base + experts, routed)",109.0 ± 9.5 raw,0.5631 ± 0.0568,+0.0308 ± 0.0266
"Cascade → one flat FIS (union, dedup @ exact tol., argmax)",83.5 ± 5.4 deduped,0.5462 ± 0.0511,+0.0138 ± 0.0609
