N (points),classical VAT,pVAT,speedup
256,0.301 ± 0.012 s,0.897 ± 1.790 s,0x
512,2.546 ± 0.045 s,0.007 ± 0.000 s,392x
"1,024",21.162 ± 1.377 s,0.020 ± 0.000 s,1069x
"2,048",infeasible (>cap),0.074 ± 0.001 s,N/A
"4,096",infeasible (>cap),0.283 ± 0.004 s,N/A
