λ,target skew,uniform R²,quantile R²,Q − U,uniform tail RMSE,quantile tail RMSE,uniform min bucket n
0.01,+0.03,0.914 ± 0.012,0.917 ± 0.008,+0.003,0.050 ± 0.009,0.049 ± 0.008,15
0.50,+1.74,0.882 ± 0.018,0.881 ± 0.031,-0.001,0.073 ± 0.012,0.066 ± 0.010,1
1.00,+4.83,0.771 ± 0.016,0.779 ± 0.067,+0.008,0.099 ± 0.017,0.073 ± 0.020,1
1.50,+9.74,0.318 ± 0.171,0.588 ± 0.164,+0.270,0.154 ± 0.025,0.073 ± 0.030,1
2.00,+14.39,0.112 ± 0.003,0.131 ± 0.749,+0.019,0.176 ± 0.002,0.072 ± 0.037,0
2.50,+17.91,0.073 ± 0.002,-1.441 ± 3.483,-1.514,0.168 ± 0.007,0.071 ± 0.041,0
