N,classical O(N³),stage 1 O(N²logN),stage 2 O(N²),cls/s2,s1/s2,orders identical
500,0.0278 ± 0.0011 s,0.0050 ± 0.0002 s,0.0006 ± 0.0001 s,50.0×,9.0×,yes
"1,000",0.1928 ± 0.0072 s,0.0125 ± 0.0018 s,0.0168 ± 0.0030 s,11.5×,0.7×,yes
"2,000",not run (> cap),0.0403 ± 0.0012 s,0.0154 ± 0.0034 s,N/A,2.6×,yes
"4,000",not run (> cap),0.1780 ± 0.0016 s,0.0268 ± 0.0022 s,N/A,6.6×,yes
