θ,detection rate,false-alarm rate,detection − false alarm
0.500,0.336,0.207,+0.129
0.600,0.327,0.186,+0.141
0.700,0.305,0.164,+0.141
0.800,0.276,0.142,+0.134
0.900,0.209,0.104,+0.104
0.990,0.121,0.064,+0.057
1.100,0.000,0.000,+0.000
