Features kept,wasserstein (acc / fit s),bhattacharyya (acc / fit s),composite (acc / fit s)
1,0.9967 / 0.06,0.9967 / 0.06,0.9967 / 0.06
2,0.9967 / 0.06,0.9999 / 0.06,0.9999 / 0.07
3,0.9967 / 0.06,0.9999 / 0.06,0.9999 / 0.07
4,0.9967 / 0.07,0.9999 / 0.06,0.9999 / 0.07
5,0.9966 / 0.07,0.9999 / 0.06,0.9999 / 0.08
7,0.9998 / 0.08,0.9999 / 0.07,0.9998 / 0.10
10,0.9995 / 0.09,0.9999 / 0.10,0.9998 / 0.14
15,0.9929 / 0.16,0.9999 / 0.15,0.9999 / 0.19
20,0.9980 / 0.22,0.9995 / 0.22,0.9997 / 0.23
