θ,detection rate,false-alarm rate,detection − false alarm
0.500,0.970,0.671,+0.299
0.600,0.948,0.618,+0.330
0.700,0.927,0.566,+0.361
0.800,0.901,0.510,+0.391
0.900,0.849,0.469,+0.380
0.990,0.798,0.431,+0.367
1.100,0.000,0.000,+0.000
