Dataset,Task,Raw MF,MF @ 1x (Δ),Reduction @ 1x,Max-lossless ×,MF @ max-lossless (Δ),Reduction @ max-lossless
Wine,classification,16.6,16.6 (+0.0000 ± 0.0000 acc),0.0%,10×,14.6 (-0.0037 ± 0.0161 acc),12.0%
BreastCancer,classification,11.1,11.1 (+0.0000 ± 0.0000 acc),0.0%,5×,11.1 (+0.0000 ± 0.0000 acc),0.0%
Digits,classification,172.2,157.5 (+0.0009 ± 0.0028 acc),8.5%,7×,96.1 (-0.0117 ± 0.0211 acc),44.2%
Concrete,regression,63.2,62.6 (+0.0000 ± 0.0000 R²),0.9%,10×,58.4 (-0.0118 ± 0.0305 R²),7.6%
Diabetes,regression,41.6,36.2 (+0.0059 ± 0.0167 R²),13.0%,2×,31.4 (+0.0011 ± 0.0168 R²),24.5%
