N (points),classical VAT (s),pVAT (s),speedup
256,0.322 ± 0.053 s,0.439 ± 1.310 s,1x
512,2.189 ± 0.166 s,0.007 ± 0.001 s,329x
"1,024",19.284 ± 2.685 s,0.023 ± 0.002 s,827x
"2,048",infeasible (>cap),0.079 ± 0.004 s,N/A
"4,096",infeasible (>cap),0.255 ± 0.006 s,N/A
