Features kept,wasserstein (acc / fit s),bhattacharyya (acc / fit s),composite (acc / fit s)
1,0.9967 / 0.47,0.4267 / 0.18,0.4267 / 0.25
2,0.9967 / 0.38,0.4527 / 0.18,0.9967 / 0.58
3,0.9967 / 0.36,0.8447 / 0.61,0.9967 / 0.28
4,0.9967 / 0.31,0.9160 / 0.31,0.9966 / 0.34
5,0.9965 / 0.41,0.9467 / 0.33,0.9966 / 0.37
7,0.9998 / 0.44,0.9632 / 0.40,0.9967 / 0.44
10,0.9997 / 0.75,0.9701 / 0.85,0.9983 / 0.91
15,0.9957 / 0.62,0.9788 / 0.70,0.9999 / 0.63
20,0.9984 / 0.71,0.9796 / 0.74,0.9991 / 1.15
