N (points),classical VAT (s),pVAT (s),speedup
256,0.283 ± 0.015 s,0.011 ± 0.027 s,25x
512,1.894 ± 0.042 s,0.006 ± 0.000 s,308x
"1,024",13.704 ± 0.251 s,0.021 ± 0.002 s,664x
"2,048",infeasible (>cap),0.086 ± 0.006 s,N/A
"4,096",infeasible (>cap),0.231 ± 0.011 s,N/A
