Features kept,wasserstein (acc / fit s),bhattacharyya (acc / fit s),composite (acc / fit s)
1,0.9967 / 0.53,0.4267 / 0.24,0.4267 / 0.30
2,0.9967 / 0.43,0.4527 / 0.34,0.9967 / 0.42
3,0.9967 / 0.50,0.8455 / 0.50,0.9967 / 0.49
4,0.9967 / 0.58,0.9160 / 0.66,0.9966 / 0.68
5,0.9966 / 0.68,0.9456 / 0.89,0.9966 / 0.84
7,0.9998 / 0.84,0.9610 / 1.22,0.9967 / 1.17
10,0.9995 / 1.13,0.9676 / 1.75,0.9980 / 1.63
15,0.9974 / 1.86,0.9765 / 2.72,0.9999 / 2.35
20,0.9990 / 2.49,0.9777 / 3.35,0.9995 / 3.34
