detector,auroc_raw,auroc_matched,delta
FIS · centroid (PCA-free),0.8813877854621995,0.8958996539792388,0.014511868517039228
Mahalanobis · stats,0.8245248231440012,0.778719723183391,-0.04580509996061022
perplexity,0.7197920458322122,0.5500346020761245,-0.1697574437560877
mean entropy,0.6916810419864845,0.5226989619377163,-0.16898208004876825
n_tokens (confound probe),0.8532510643012012,0.5,-0.35325106430120123
