seed,condition,detector,auroc,fpr95,fpr90,fpr80,n_params,train_ms,band_lo,band_hi
0,length+template,FIS single pass,0.8532951118277643,0.6612021857923497,0.4644808743169399,0.20765027322404372,81,3245.934999999008,0.10710699267634813,0.1770802461634278
0,length+template,FIS cascade (2 pass),0.8579533578189853,0.6557377049180327,0.4098360655737705,0.21311475409836064,108,3245.934999999008,0.10710699267634813,0.1770802461634278
0,length+template,Mahalanobis · stats,0.8344531040043,0.7103825136612022,0.3989071038251366,0.29508196721311475,209,3245.934999999008,0.10710699267634813,0.1770802461634278
0,length+template,mean entropy,0.8349905939263639,0.5409836065573771,0.46994535519125685,0.31693989071038253,0,3245.934999999008,0.10710699267634813,0.1770802461634278
0,length+template+entropy,FIS single pass,0.8351724137931034,0.6413793103448275,0.46206896551724136,0.30344827586206896,81,3245.934999999008,0.10710699267634813,0.1770802461634278
0,length+template+entropy,FIS cascade (2 pass),0.8364328180737218,0.6413793103448275,0.46206896551724136,0.31724137931034485,108,3245.934999999008,0.10710699267634813,0.1770802461634278
0,length+template+entropy,Mahalanobis · stats,0.7756004756242568,0.7586206896551724,0.5793103448275863,0.35172413793103446,209,3245.934999999008,0.10710699267634813,0.1770802461634278
0,length+template+entropy,mean entropy,0.6248751486325803,0.7448275862068966,0.696551724137931,0.5586206896551724,0,3245.934999999008,0.10710699267634813,0.1770802461634278
1,length+template,FIS single pass,0.7837224489795919,0.8285714285714286,0.72,0.44571428571428573,81,1788.9980000036303,0.10615693898509915,0.1758190981148035
1,length+template,FIS cascade (2 pass),0.8040979591836734,0.8285714285714286,0.72,0.3314285714285714,114,1788.9980000036303,0.10615693898509915,0.1758190981148035
1,length+template,Mahalanobis · stats,0.8604734693877552,0.49142857142857144,0.38285714285714284,0.21142857142857144,209,1788.9980000036303,0.10615693898509915,0.1758190981148035
1,length+template,mean entropy,0.8651755102040817,0.48,0.4057142857142857,0.2571428571428571,0,1788.9980000036303,0.10615693898509915,0.1758190981148035
1,length+template+entropy,FIS single pass,0.732470100308642,0.8888888888888888,0.75,0.5555555555555556,81,1788.9980000036303,0.10615693898509915,0.1758190981148035
1,length+template+entropy,FIS cascade (2 pass),0.7529176311728395,0.8888888888888888,0.75,0.5694444444444444,114,1788.9980000036303,0.10615693898509915,0.1758190981148035
1,length+template+entropy,Mahalanobis · stats,0.8325617283950617,0.6666666666666666,0.4375,0.2847222222222222,209,1788.9980000036303,0.10615693898509915,0.1758190981148035
1,length+template+entropy,mean entropy,0.6493055555555556,0.7152777777777778,0.5763888888888888,0.5,0,1788.9980000036303,0.10615693898509915,0.1758190981148035
2,length+template,FIS single pass,0.8670765581598576,0.5754189944134078,0.40782122905027934,0.1787709497206704,83,1888.2482000044547,0.10511110976632873,0.1777398323604582
2,length+template,FIS cascade (2 pass),0.8592116350925376,0.5865921787709497,0.4692737430167598,0.1787709497206704,116,1888.2482000044547,0.10511110976632873,0.1777398323604582
2,length+template,Mahalanobis · stats,0.8522205923660311,0.5921787709497207,0.36312849162011174,0.24022346368715083,209,1888.2482000044547,0.10511110976632873,0.1777398323604582
2,length+template,mean entropy,0.8339627352454669,0.5810055865921788,0.44692737430167595,0.30726256983240224,0,1888.2482000044547,0.10511110976632873,0.1777398323604582
2,length+template+entropy,FIS single pass,0.8326854551344347,0.564625850340136,0.40816326530612246,0.25170068027210885,83,1888.2482000044547,0.10511110976632873,0.1777398323604582
2,length+template+entropy,FIS cascade (2 pass),0.8208848165116387,0.5782312925170068,0.47619047619047616,0.30612244897959184,116,1888.2482000044547,0.10511110976632873,0.1777398323604582
2,length+template+entropy,Mahalanobis · stats,0.8045258919894489,0.673469387755102,0.5510204081632653,0.32653061224489793,209,1888.2482000044547,0.10511110976632873,0.1777398323604582
2,length+template+entropy,mean entropy,0.6255726780508121,0.7482993197278912,0.6666666666666666,0.5578231292517006,0,1888.2482000044547,0.10511110976632873,0.1777398323604582
3,length+template,FIS single pass,0.8991315857438017,0.4772727272727273,0.36363636363636365,0.13068181818181818,83,1914.9338999995962,0.09985054599117045,0.18011341839075645
3,length+template,FIS cascade (2 pass),0.8971461776859503,0.5795454545454546,0.32386363636363635,0.13068181818181818,110,1914.9338999995962,0.09985054599117045,0.18011341839075645
3,length+template,Mahalanobis · stats,0.8617639462809916,0.5113636363636364,0.4602272727272727,0.2727272727272727,209,1914.9338999995962,0.09985054599117045,0.18011341839075645
