features,K,top_n,silhouette,detector,family,mfs,auroc,auprc,fpr@95tpr
stats,1,8,,Mahalanobis,TriviaQA,22,0.6957443938337193,0.9293415634537949,0.9036827195467422
stats,1,8,,Mahalanobis,FalsePremise,22,0.8649247471790082,0.9190224704786827,0.509915014164306
stats,1,8,,FIS T=product/S=product,TriviaQA,22,0.5957274598103963,0.8947230934045146,0.9461756373937678
stats,1,8,,FIS T=product/S=product,FalsePremise,22,0.6309446563375377,0.7743110924136778,0.8441926345609065
stats,1,8,,FIS T=hamacher/S=hamacher,TriviaQA,22,0.6012676121017992,0.8999017977131216,0.9405099150141643
stats,1,8,,FIS T=hamacher/S=hamacher,FalsePremise,22,0.6363452925443525,0.7895698738806876,0.8753541076487252
stats,1,8,,FIS T=dombi2/S=einstein,TriviaQA,22,0.6055161863431407,0.901320202552234,1.0
stats,1,8,,FIS T=dombi2/S=einstein,FalsePremise,22,0.6563434725497334,0.8011910803074347,1.0
stats,1,16,,Mahalanobis,TriviaQA,44,0.6484539810740764,0.9166480801298633,0.9093484419263456
stats,1,16,,Mahalanobis,FalsePremise,44,0.8374665674901483,0.8969594800805499,0.5977337110481586
stats,1,16,,FIS T=product/S=product,TriviaQA,44,0.6035580105105752,0.8953111843874619,0.8895184135977338
stats,1,16,,FIS T=product/S=product,FalsePremise,44,0.6535620459904727,0.7855453452300992,0.8583569405099151
stats,1,16,,FIS T=hamacher/S=hamacher,TriviaQA,44,0.6120429607561185,0.9014575551061292,0.8951841359773371
stats,1,16,,FIS T=hamacher/S=hamacher,FalsePremise,44,0.6649706426954911,0.8054327459280588,0.8640226628895185
stats,1,16,,FIS T=dombi2/S=einstein,TriviaQA,44,0.6210352141579916,0.9045118159015613,0.8810198300283286
stats,1,16,,FIS T=dombi2/S=einstein,FalsePremise,44,0.6876651842942377,0.8171201491862458,0.8668555240793201
stats,2,8,0.3399512378560523,Mahalanobis,TriviaQA,25,0.6550726010372806,0.9199949746901279,0.9150141643059491
stats,2,8,0.3399512378560523,Mahalanobis,FalsePremise,25,0.838748476743634,0.9022480820388885,0.5779036827195467
stats,2,8,0.3399512378560523,FIS T=product/S=product,TriviaQA,25,0.6042734012416371,0.8953061252500956,0.9291784702549575
stats,2,8,0.3399512378560523,FIS T=product/S=product,FalsePremise,25,0.7309217085792964,0.8140133427776437,0.6572237960339944
stats,2,8,0.3399512378560523,FIS T=hamacher/S=hamacher,TriviaQA,25,0.6059546053368005,0.8988413027925296,0.9263456090651558
stats,2,8,0.3399512378560523,FIS T=hamacher/S=hamacher,FalsePremise,25,0.7438416921202146,0.8345890912405453,0.6572237960339944
stats,2,8,0.3399512378560523,FIS T=dombi2/S=einstein,TriviaQA,25,0.6075109568871249,0.897136388671165,1.0
stats,2,8,0.3399512378560523,FIS T=dombi2/S=einstein,FalsePremise,25,0.747444094513112,0.8379499028454338,1.0
stats,2,16,0.3394582245835584,Mahalanobis,TriviaQA,61,0.6381586689283634,0.9144894524259556,0.9150141643059491
stats,2,16,0.3394582245835584,Mahalanobis,FalsePremise,61,0.814392200927406,0.8868133738855409,0.7082152974504249
stats,2,16,0.3394582245835584,FIS T=product/S=product,TriviaQA,61,0.6170550011337185,0.9003091257754998,0.9093484419263456
stats,2,16,0.3394582245835584,FIS T=product/S=product,FalsePremise,61,0.7385083165841075,0.8210753575658432,0.6543909348441926
stats,2,16,0.3394582245835584,FIS T=hamacher/S=hamacher,TriviaQA,61,0.6183645177678088,0.903699769952917,0.9150141643059491
stats,2,16,0.3394582245835584,FIS T=hamacher/S=hamacher,FalsePremise,61,0.7588269739028597,0.8442620438287488,0.660056657223796
stats,2,16,0.3394582245835584,FIS T=dombi2/S=einstein,TriviaQA,61,0.6211988140443327,0.9051999942950402,0.9036827195467422
stats,2,16,0.3394582245835584,FIS T=dombi2/S=einstein,FalsePremise,61,0.7617112697232026,0.8465170160221138,0.660056657223796
stats,4,8,0.26092380566462264,Mahalanobis,TriviaQA,46,0.655251986877567,0.9199945787547011,0.9405099150141643
stats,4,8,0.26092380566462264,Mahalanobis,FalsePremise,46,0.8452648487821861,0.9052463802922156,0.5439093484419264
stats,4,8,0.26092380566462264,FIS T=product/S=product,TriviaQA,46,0.5966638538966911,0.8946178612926057,0.9320113314447592
stats,4,8,0.26092380566462264,FIS T=product/S=product,FalsePremise,46,0.7457962080807761,0.8407049558559633,0.7280453257790368
stats,4,8,0.26092380566462264,FIS T=hamacher/S=hamacher,TriviaQA,46,0.5994902571962424,0.8960991820125774,0.9348441926345609
stats,4,8,0.26092380566462264,FIS T=hamacher/S=hamacher,FalsePremise,46,0.7476063114248185,0.8403455775074946,0.7478753541076487
stats,4,8,0.26092380566462264,FIS T=dombi2/S=einstein,TriviaQA,46,0.596254136637477,0.8929356700382676,1.0
stats,4,8,0.26092380566462264,FIS T=dombi2/S=einstein,FalsePremise,46,0.7298732334182664,0.8300821565682062,1.0
stats,4,16,0.23289369719099037,Mahalanobis,TriviaQA,91,0.6452781341576472,0.9156761182064865,0.9178470254957507
stats,4,16,0.23289369719099037,Mahalanobis,FalsePremise,91,0.8043861870321425,0.8803940283250709,0.6543909348441926
stats,4,16,0.23289369719099037,FIS T=product/S=product,TriviaQA,91,0.5981398405905669,0.8927888458325859,0.9121813031161473
stats,4,16,0.23289369719099037,FIS T=product/S=product,FalsePremise,91,0.7180749204741481,0.8149136096679258,0.7818696883852692
stats,4,16,0.23289369719099037,FIS T=hamacher/S=hamacher,TriviaQA,91,0.6039268277982038,0.8970944813255992,0.9036827195467422
stats,4,16,0.23289369719099037,FIS T=hamacher/S=hamacher,FalsePremise,91,0.7377941665215948,0.8307357508143434,0.7450424929178471
stats,4,16,0.23289369719099037,FIS T=dombi2/S=einstein,TriviaQA,91,0.5980652160810078,0.8961490566793808,0.9150141643059491
stats,4,16,0.23289369719099037,FIS T=dombi2/S=einstein,FalsePremise,91,0.7227376675582002,0.8267893434479874,0.7960339943342776
stats,8,8,0.2187698693094421,Mahalanobis,TriviaQA,78,0.6663236809400392,0.9227509628935422,0.8980169971671388
stats,8,8,0.2187698693094421,Mahalanobis,FalsePremise,78,0.8456407172361404,0.9066510228147902,0.6090651558073654
stats,8,8,0.2187698693094421,FIS T=product/S=product,TriviaQA,78,0.5992950854020108,0.8969161111132247,0.9348441926345609
stats,8,8,0.2187698693094421,FIS T=product/S=product,FalsePremise,78,0.6826127209710858,0.8176877079764424,0.9008498583569405
stats,8,8,0.2187698693094421,FIS T=hamacher/S=hamacher,TriviaQA,78,0.6003470039694498,0.8986142681302436,0.9546742209631728
stats,8,8,0.2187698693094421,FIS T=hamacher/S=hamacher,FalsePremise,78,0.6843100637789419,0.8170064875475057,0.9036827195467422
stats,8,8,0.2187698693094421,FIS T=dombi2/S=einstein,TriviaQA,78,0.5982776089159068,0.8982241329763041,1.0
stats,8,8,0.2187698693094421,FIS T=dombi2/S=einstein,FalsePremise,78,0.674236789212971,0.81155126378497,1.0
stats,8,16,0.19505053352415772,Mahalanobis,TriviaQA,162,0.6452781341576472,0.9156761182064865,0.9178470254957507
