seed,condition,metric,mf,tnorm,sconorm,de_morgan,auroc,fpr95,n_params,n_mfs,train_ms,samples_per_sec
1,length+template+entropy,bhattacharyya,trapezoid,min/max,hamacher,False,0.8339208460182664,0.9873417721518988,53,26,13794.917299994268,292213.7974894972
1,length+template+entropy,wasserstein,gaussian,min/max,min/max,True,0.8429738823906425,1.0,75,37,965.9946000028867,487804.8783729225
1,length+template+entropy,wasserstein,gaussian,probability,probability,True,0.8126902739945522,0.7468354430379747,75,37,965.9946000028867,535321.0247559806
1,length+template+entropy,wasserstein,gaussian,luk,luk,True,,,75,37,965.9946000028867,505761.84455158754
1,length+template+entropy,wasserstein,gaussian,hamacher,hamacher,True,0.82530844415959,0.740506329113924,75,37,965.9946000028867,349364.2936406312
1,length+template+entropy,wasserstein,gaussian,einstein,einstein,True,0.806921967633392,0.740506329113924,75,37,965.9946000028867,469051.51143848157
1,length+template+entropy,wasserstein,gaussian,hamacher,einstein,False,0.8262297708700528,0.7278481012658228,75,37,965.9946000028867,447528.6742606876
1,length+template+entropy,wasserstein,gaussian,probability,einstein,False,0.8126902739945522,0.7468354430379747,75,37,965.9946000028867,476693.31858493394
1,length+template+entropy,wasserstein,gaussian,min/max,hamacher,False,0.8464188431341131,0.740506329113924,75,37,965.9946000028867,395247.02687857946
1,length+template+entropy,wasserstein,trapezoid,min/max,min/max,True,0.7639400737061368,1.0,53,26,11702.396500011673,350799.29316875455
1,length+template+entropy,wasserstein,trapezoid,probability,probability,True,0.7714508892805638,0.759493670886076,53,26,11702.396500011673,446832.5787046466
1,length+template+entropy,wasserstein,trapezoid,luk,luk,True,,,53,26,11702.396500011673,456647.3978962557
1,length+template+entropy,wasserstein,trapezoid,hamacher,hamacher,True,0.7710302836083961,0.7531645569620253,53,26,11702.396500011673,385789.28362162656
1,length+template+entropy,wasserstein,trapezoid,einstein,einstein,True,0.7708500240346099,0.7784810126582279,53,26,11702.396500011673,349518.8580665164
1,length+template+entropy,wasserstein,trapezoid,hamacher,einstein,False,0.7713307162313732,0.7784810126582279,53,26,11702.396500011673,277558.1915380223
1,length+template+entropy,wasserstein,trapezoid,probability,einstein,False,0.771651177695882,0.7658227848101266,53,26,11702.396500011673,187414.7452559621
1,length+template+entropy,wasserstein,trapezoid,min/max,hamacher,False,0.7688471398814292,0.9936708860759493,53,26,11702.396500011673,375163.2451509841
1,length+template+entropy,-,Mahalanobis,-,-,True,0.8070821983656464,0.6835443037974683,209,0,0.9647999977460131,
2,length+template,bhattacharyya,gaussian,min/max,min/max,True,0.8898789633919952,0.5970149253731343,97,48,1076.2239000032423,487982.5280897543
2,length+template,bhattacharyya,gaussian,probability,probability,True,0.8795079329719562,0.6666666666666666,97,48,1076.2239000032423,605330.5158846063
2,length+template,bhattacharyya,gaussian,luk,luk,True,,,97,48,1076.2239000032423,592483.4188673248
2,length+template,bhattacharyya,gaussian,hamacher,hamacher,True,0.8910794287270117,0.6517412935323383,97,48,1076.2239000032423,431099.19608934404
2,length+template,bhattacharyya,gaussian,einstein,einstein,True,0.8750278458453998,0.6666666666666666,97,48,1076.2239000032423,518910.54238581046
2,length+template,bhattacharyya,gaussian,hamacher,einstein,False,0.893245216702557,0.6019900497512438,97,48,1076.2239000032423,475908.6065968705
2,length+template,bhattacharyya,gaussian,probability,einstein,False,0.8798297071854657,0.6517412935323383,97,48,1076.2239000032423,591872.7864355412
2,length+template,bhattacharyya,gaussian,min/max,hamacher,False,0.8968342367763174,0.5373134328358209,97,48,1076.2239000032423,440596.22672974685
2,length+template,bhattacharyya,trapezoid,min/max,min/max,True,0.5451845251355164,0.8955223880597015,51,25,12342.024799989304,524325.0374421335
2,length+template,bhattacharyya,trapezoid,probability,probability,True,0.5453330363109823,0.8955223880597015,51,25,12342.024799989304,546418.3774306342
2,length+template,bhattacharyya,trapezoid,luk,luk,True,,,51,25,12342.024799989304,519782.7803553207
2,length+template,bhattacharyya,trapezoid,hamacher,hamacher,True,0.5452835325858271,0.8955223880597015,51,25,12342.024799989304,340130.3009928312
2,length+template,bhattacharyya,trapezoid,einstein,einstein,True,0.5453330363109823,0.8955223880597015,51,25,12342.024799989304,470615.7810711883
2,length+template,bhattacharyya,trapezoid,hamacher,einstein,False,0.5452835325858271,0.8955223880597015,51,25,12342.024799989304,435772.3597099063
2,length+template,bhattacharyya,trapezoid,probability,einstein,False,0.5453330363109823,0.8955223880597015,51,25,12342.024799989304,495501.0430433918
2,length+template,bhattacharyya,trapezoid,min/max,hamacher,False,0.5451845251355164,0.8955223880597015,51,25,12342.024799989304,424588.0899285007
2,length+template,wasserstein,gaussian,min/max,min/max,True,0.8898789633919952,0.5970149253731343,97,48,980.5155999929411,598303.3243746033
2,length+template,wasserstein,gaussian,probability,probability,True,0.8795079329719562,0.6666666666666666,97,48,980.5155999929411,566516.3436580771
2,length+template,wasserstein,gaussian,luk,luk,True,,,97,48,980.5155999929411,530412.9875023067
2,length+template,wasserstein,gaussian,hamacher,hamacher,True,0.8910794287270117,0.6517412935323383,97,48,980.5155999929411,343971.9366042018
2,length+template,wasserstein,gaussian,einstein,einstein,True,0.8750278458453998,0.6666666666666666,97,48,980.5155999929411,377677.5650204222
2,length+template,wasserstein,gaussian,hamacher,einstein,False,0.893245216702557,0.6019900497512438,97,48,980.5155999929411,487982.51946984604
2,length+template,wasserstein,gaussian,probability,einstein,False,0.8798297071854657,0.6517412935323383,97,48,980.5155999929411,320216.66064998956
2,length+template,wasserstein,gaussian,min/max,hamacher,False,0.8968342367763174,0.5373134328358209,97,48,980.5155999929411,298884.7590431336
2,length+template,wasserstein,trapezoid,min/max,min/max,True,0.5451845251355164,0.8955223880597015,51,25,12257.706000003964,397272.46066160983
2,length+template,wasserstein,trapezoid,probability,probability,True,0.5453330363109823,0.8955223880597015,51,25,12257.706000003964,449765.0503545764
2,length+template,wasserstein,trapezoid,luk,luk,True,,,51,25,12257.706000003964,513213.32944053656
2,length+template,wasserstein,trapezoid,hamacher,hamacher,True,0.5452835325858271,0.8955223880597015,51,25,12257.706000003964,433844.16242871055
2,length+template,wasserstein,trapezoid,einstein,einstein,True,0.5453330363109823,0.8955223880597015,51,25,12257.706000003964,519581.2345082054
2,length+template,wasserstein,trapezoid,hamacher,einstein,False,0.5452835325858271,0.8955223880597015,51,25,12257.706000003964,390101.8910538144
2,length+template,wasserstein,trapezoid,probability,einstein,False,0.5453330363109823,0.8955223880597015,51,25,12257.706000003964,540249.9731563411
2,length+template,wasserstein,trapezoid,min/max,hamacher,False,0.5451845251355164,0.8955223880597015,51,25,12257.706000003964,480401.53074518155
2,length+template,-,Mahalanobis,-,-,True,0.8750278458453999,0.38308457711442784,209,0,0.9523000044282526,
2,length+template+entropy,bhattacharyya,gaussian,min/max,min/max,True,0.7981824417009602,0.7222222222222222,97,48,1076.2239000032423,446773.3086581649
2,length+template+entropy,bhattacharyya,gaussian,probability,probability,True,0.7708619112940099,0.7839506172839507,97,48,1076.2239000032423,469021.4296642607
