seed,ranker,auroc,n_layers_selected,features
4,wasserstein,0.6635519999999999,4,"L30_dist,L29_dist,L31_dist,L30_cos,L28_dist,L29_cos,L31_cos,L28_cos"
4,auc,0.663808,5,"L30_dist,L30_cos,L31_cos,L31_dist,L29_dist,L29_cos,L28_dist,L27_dist"
4,mutual_info,0.6635519999999999,4,"L30_dist,L30_cos,L31_cos,L31_dist,L29_dist,L28_dist,L28_cos,L29_cos"
4,variance,0.6558719999999999,8,"L31_dist,L30_dist,L29_dist,L28_dist,L27_dist,L26_dist,L25_dist,L24_dist"
5,bhattacharyya,0.7564601204113165,4,"L30_dist,L30_cos,L29_dist,L31_dist,L31_cos,L29_cos,L28_dist,L28_cos"
5,jensen_shannon,0.7564601204113165,4,"L30_dist,L30_cos,L29_dist,L31_dist,L31_cos,L29_cos,L28_dist,L28_cos"
5,overlap,0.7564601204113165,4,"L30_dist,L30_cos,L29_dist,L31_dist,L31_cos,L29_cos,L28_dist,L28_cos"
5,blend (library),0.7564601204113165,4,"L30_dist,L30_cos,L29_dist,L31_dist,L29_cos,L31_cos,L28_dist,L28_cos"
5,hist_corr,0.6800042623474879,6,"L25_dist,L10_cos,L30_dist,L29_dist,L26_dist,L12_dist,L25_cos,L29_cos"
5,ks,0.7374393947466569,5,"L30_dist,L30_cos,L31_dist,L31_cos,L29_dist,L28_cos,L29_cos,L27_cos"
5,wasserstein,0.7564601204113165,4,"L30_dist,L30_cos,L29_dist,L31_dist,L31_cos,L29_cos,L28_dist,L28_cos"
5,auc,0.723027332303266,4,"L30_cos,L30_dist,L31_dist,L31_cos,L29_dist,L29_cos,L27_cos,L27_dist"
5,mutual_info,0.7374393947466569,5,"L30_cos,L30_dist,L31_dist,L31_cos,L29_cos,L29_dist,L27_cos,L28_cos"
5,variance,0.698838510309553,8,"L31_dist,L30_dist,L29_dist,L28_dist,L27_dist,L26_dist,L25_dist,L24_dist"
