family,feature,auroc,auroc_entmatch,rho_entropy,entmatch_std
agg,agg_cos_contrast,0.7161945755960883,0.8380163811376737,0.17170938465975844,0.04921964434899407
agg,agg_cos_early,0.5962026687448412,0.6715867893740626,0.03704979510953832,0.09007993702788669
agg,agg_cos_late,0.7035860665854275,0.8098697768932379,0.16268930275140261,0.028360657840518663
agg,agg_cos_mean,0.6586397785406484,0.7365788814655692,0.10862768001476816,0.021956258002480446
agg,agg_cos_mono,0.5566338899961114,0.5631156529934169,0.10904548336393977,0.024027946428228312
agg,agg_cos_range,0.8340861527185803,0.8698775027182238,0.37847902604995415,0.0691824604739406
agg,agg_cos_rough,0.581509719765086,0.5769527442024495,0.08083404946915548,0.06420848217243999
agg,agg_cos_slope,0.7484673436971248,0.8730631857105297,0.21381873314864583,0.050294982615120734
agg,agg_cos_std,0.7758421195890186,0.8632517341546202,0.26597300666379614,0.04586205994128407
agg,agg_dist_contrast,0.706152055533471,0.7935957210068155,0.16131847511549544,0.03743720266858768
agg,agg_dist_early,0.5987086481418229,0.6963292271021415,0.013580578723342819,0.08739620160918243
agg,agg_dist_late,0.7004189014904175,0.7757089449656183,0.15987200318077496,0.029844508139251366
agg,agg_dist_max,0.8257840163086767,0.8734894809240554,0.38273601769005816,0.058476564173060075
agg,agg_dist_mean,0.6795339883108814,0.7527410488502165,0.1340241855793094,0.029967332021606657
agg,agg_dist_mono,0.518118143003084,0.5486020656957526,0.09525560027958785,0.024913503072929645
agg,agg_dist_range,0.8257840163086767,0.8734894809240554,0.38273601769005816,0.058476564173060075
agg,agg_dist_rough,0.6641525897794451,0.6248699742398409,0.28102320802651304,0.08594275640513344
agg,agg_dist_slope,0.7298629962834918,0.8352593880109185,0.19227139356589415,0.04672343265312434
agg,agg_dist_std,0.7743273714078045,0.8419325011882001,0.27508034794264735,0.07545136920800734
agg,agg_norm_contrast,0.7786917700001539,0.8421859273353152,0.4417203210934548,0.06412350323963174
agg,agg_norm_early,0.5981478271113779,0.6272827867369247,0.2913413910559365,0.08782410405626892
agg,agg_norm_late,0.761612841185628,0.8438157459294194,0.3976956550174134,0.051955357924433836
agg,agg_norm_max,0.6713152092616794,0.73361264537141,0.27634172567740994,0.08755919310969648
agg,agg_norm_mean,0.7243755596813372,0.8380199009351972,0.30964696410795745,0.034988320899796845
agg,agg_norm_mono,0.6161639415199813,0.7428288623141565,0.16856409562854618,0.03646149965601572
agg,agg_norm_range,0.6713152092616794,0.73361264537141,0.27634172567740994,0.08755919310969648
agg,agg_norm_rough,0.709672023997829,0.5649112339563973,0.28806669402682017,0.03213094794833052
agg,agg_norm_slope,0.7900784812403041,0.8639993095509465,0.46517723260140914,0.060060197871048285
agg,agg_norm_std,0.7826297717182336,0.8592137596133708,0.45570406440060046,0.05981498987988334
centroid,L01_dist,0.5593374000875895,0.5586670123148458,0.1552055189820402,0.03583316796497103
centroid,L02_dist,0.7175055782916719,0.603558840725059,0.3873800230858433,0.0755435518587766
centroid,L03_dist,0.700482356805847,0.7116255968392695,0.23971091282123372,0.07424447881041872
centroid,L04_cos,0.7067572061563591,0.7649045876907441,0.24143104833255366,0.0608267381868896
centroid,L04_dist,0.7037318064074076,0.7843851305169939,0.2251648966058732,0.05878311669205363
centroid,L05_cos,0.7150100741047605,0.7184144607198953,0.28333361664099194,0.10475637812182018
centroid,L05_dist,0.714659620483111,0.7490263022774953,0.2549511320120604,0.09991723509462085
centroid,L06_cos,0.605188036922899,0.7227984584888603,0.04561161084690567,0.08147168617952039
centroid,L06_dist,0.6015563726935601,0.7526242941485679,0.041180034616963485,0.05778125677001976
centroid,L07_cos,0.6061283999369442,0.7264268053491265,0.03268690766440325,0.0689112451149768
centroid,L07_dist,0.5854179584035195,0.7529837872032442,0.053935368197845536,0.041733112482620245
centroid,L08_cos,0.569694289230428,0.6542847270013703,0.02247549817031401,0.09266218157626638
centroid,L08_dist,0.5522433185843235,0.6654716555087054,0.047458738303021844,0.08117528235668335
centroid,L09_cos,0.5612579868306933,0.6436169359842788,0.022268586820938182,0.09169079101389169
centroid,L09_dist,0.5572203968703223,0.6464040584907823,0.011826732450273079,0.08594815827083488
centroid,L10_cos,0.5504768935347143,0.6365424723085661,0.00430495720318027,0.08487332143401978
centroid,L10_dist,0.5517725769085863,0.6422881746967264,0.013027822018819982,0.08559321289732162
