model,seed,condition,family,budget,selected,val_auroc,test_auroc,test_fpr95,fixed_auroc
sl135,2,length+template,single statistic,38,ent_max_+,0.8543602120893717,0.8590868949961166,0.5781544256120528,0.7044768602750026
sl135,2,length+template+entropy,FIS,120,w1_t8_k2_hamacher,0.693805506139703,0.634156,0.906,0.518974
sl135,2,length+template+entropy,Mahalanobis,120,mcd_sNone_k4,0.7053046617354848,0.6493519999999999,0.908,0.614644
sl135,2,length+template+entropy,IsolationForest,96,n400_mf1.0_cauto_k8,0.6837870922325215,0.611952,0.9,0.552468
sl135,2,length+template+entropy,OneClassSVM,100,nu0.01_g0.01_sigmoid_k8,0.7000405730158235,0.6807920000000001,0.8,0.5982200000000001
sl135,2,length+template+entropy,single statistic,38,ent_max_+,0.8543602120893717,0.813648,0.694,0.542308
sl135,3,length+template,FIS,120,w1_t19_k3_hamacher,0.7099606739077698,0.7080280871539792,0.8511029411764706,0.6171114700475778
sl135,3,length+template,Mahalanobis,120,empirical_s0.6_k4,0.7061032318462763,0.7114646410034602,0.8345588235294118,0.6366646842560554
sl135,3,length+template,IsolationForest,96,n200_mf0.5_cauto_k8,0.6968645043579871,0.6920753135813148,0.8327205882352942,0.6212525681228374
sl135,3,length+template,OneClassSVM,100,nu0.1_g0.01_rbf_k8,0.6987881003549941,0.6954915927768166,0.84375,0.6070366565743945
sl135,3,length+template,single statistic,38,ent_max_+,0.8520778595125752,0.8495113808391004,0.6268382352941176,0.6842999837802768
sl135,3,length+template+entropy,FIS,120,w1_t19_k3_hamacher,0.7099606739077698,0.6699722144271547,0.8389662027833003,0.592864285460201
sl135,3,length+template+entropy,Mahalanobis,120,empirical_s0.6_k4,0.7061032318462763,0.6588105561462241,0.8986083499005965,0.6150057903078546
sl135,3,length+template+entropy,IsolationForest,96,n200_mf0.5_cauto_k8,0.6968645043579871,0.6321356157290847,0.8707753479125249,0.5793390748945689
sl135,3,length+template+entropy,OneClassSVM,100,nu0.1_g0.01_rbf_k8,0.6987881003549941,0.6072353157397563,0.9264413518886679,0.5827302586074014
sl135,3,length+template+entropy,single statistic,38,ent_max_+,0.8520778595125752,0.8025287637989162,0.6322067594433399,0.5359690761988704
sl1700,0,length+template,FIS,120,w0_t8_k2_probability,0.8975600101973729,0.9084605672923155,0.44403669724770645,0.8860634626714923
sl1700,0,length+template,Mahalanobis,120,empirical_sNone_k12,0.9108367212762818,0.9165221782678225,0.3669724770642202,0.9133170608534635
