model,template,seed,n,auroc_entropy,auroc_fis,est_k20,est_k50,est_k100,est_k200,kg_std,kg_iqr,kg_range,kg_skew,kg_kurt,kg_mean,kg_cv,kg_bimod
smollm2,algorithm,0,152,0.8502423822714682,0.8108552631578948,0.72,0.8752,0.8708,0.8502423822714682,0.29392075953482116,0.3673260807991028,0.7275091290473938,-0.31066931282454585,0.3423161487905282,1.1551475869577816,0.25444433473167877,0.328070527379523
smollm2,conjecture,0,62,0.7939646201873048,0.7460978147762747,0.86,0.824,0.7939646201873048,0.7939646201873048,0.29392075953482116,0.3673260807991028,0.7275091290473938,-0.31066931282454585,0.3423161487905282,1.1551475869577816,0.25444433473167877,0.328070527379523
smollm2,constant,0,40,0.7625,0.8274999999999999,0.79,0.7625,0.7625,0.7625,0.29392075953482116,0.3673260807991028,0.7275091290473938,-0.31066931282454585,0.3423161487905282,1.1551475869577816,0.25444433473167877,0.328070527379523
smollm2,effect,0,56,0.8545918367346939,0.8112244897959183,0.76,0.88,0.8545918367346939,0.8545918367346939,0.29392075953482116,0.3673260807991028,0.7275091290473938,-0.31066931282454585,0.3423161487905282,1.1551475869577816,0.25444433473167877,0.328070527379523
smollm2,element,0,138,0.7288384793110689,0.7460617517328293,0.7000000000000001,0.7584,0.7080000000000001,0.7288384793110689,0.29392075953482116,0.3673260807991028,0.7275091290473938,-0.31066931282454585,0.3423161487905282,1.1551475869577816,0.25444433473167877,0.328070527379523
smollm2,experiment,0,48,0.814236111111111,0.771701388888889,0.87,0.814236111111111,0.814236111111111,0.814236111111111,0.29392075953482116,0.3673260807991028,0.7275091290473938,-0.31066931282454585,0.3423161487905282,1.1551475869577816,0.25444433473167877,0.328070527379523
smollm2,law,0,50,0.9952000000000001,0.7343999999999999,1.0,0.9952000000000001,0.9952000000000001,0.9952000000000001,0.29392075953482116,0.3673260807991028,0.7275091290473938,-0.31066931282454585,0.3423161487905282,1.1551475869577816,0.25444433473167877,0.328070527379523
smollm2,paradox,0,64,0.8251953125,0.6083984375,0.89,0.8656,0.8251953125,0.8251953125,0.29392075953482116,0.3673260807991028,0.7275091290473938,-0.31066931282454585,0.3423161487905282,1.1551475869577816,0.25444433473167877,0.328070527379523
smollm2,reaction,0,76,0.6419667590027701,0.6994459833795014,0.54,0.5888,0.6419667590027701,0.6419667590027701,0.29392075953482116,0.3673260807991028,0.7275091290473938,-0.31066931282454585,0.3423161487905282,1.1551475869577816,0.25444433473167877,0.328070527379523
smollm2,researcher,0,174,0.9236358832078213,0.8450918219051393,1.0,0.944,0.9156,0.9236358832078213,0.29392075953482116,0.3673260807991028,0.7275091290473938,-0.31066931282454585,0.3423161487905282,1.1551475869577816,0.25444433473167877,0.328070527379523
smollm2,theorem,0,64,0.9736328125,0.603515625,1.0,0.968,0.9736328125,0.9736328125,0.29392075953482116,0.3673260807991028,0.7275091290473938,-0.31066931282454585,0.3423161487905282,1.1551475869577816,0.25444433473167877,0.328070527379523
smollm2,algorithm,1,142,0.8321761555246975,0.8366395556437215,0.9400000000000001,0.8704000000000001,0.8136,0.8321761555246975,0.29114328881783147,0.38464754819869995,0.7409628748893736,-0.2338823334673303,0.09552733509705646,1.163206967191778,0.2502936251064743,0.34071769730773094
smollm2,conjecture,1,52,0.8343195266272189,0.8920118343195267,0.8300000000000001,0.8256,0.8343195266272189,0.8343195266272189,0.29114328881783147,0.38464754819869995,0.7409628748893736,-0.2338823334673303,0.09552733509705646,1.163206967191778,0.2502936251064743,0.34071769730773094
smollm2,constant,1,34,0.8096885813148789,0.8927335640138407,0.65,0.8096885813148789,0.8096885813148789,0.8096885813148789,0.29114328881783147,0.38464754819869995,0.7409628748893736,-0.2338823334673303,0.09552733509705646,1.163206967191778,0.2502936251064743,0.34071769730773094
smollm2,effect,1,72,0.8634259259259259,0.9390432098765432,0.9500000000000001,0.856,0.8634259259259259,0.8634259259259259,0.29114328881783147,0.38464754819869995,0.7409628748893736,-0.2338823334673303,0.09552733509705646,1.163206967191778,0.2502936251064743,0.34071769730773094
