seed,condition,detector,auroc,fpr95,n_neg,n_pos,train_ms,n_params,samples_per_sec,structure
3,length,FIS · centroid,0.5793571950328708,1.0,185,185,716.3727000006475,55,185148.11756348365,2R/27MF
3,length,FIS · delta,0.529218407596786,1.0,185,185,765.5444999982137,45,207935.2589129111,2R/22MF
3,length,FIS · deltaref,0.5419430241051864,1.0,185,185,735.214200001792,67,178253.11925578097,2R/33MF
3,length,FIS · geom,0.6695398100803507,1.0,185,185,728.8178000017069,45,208662.30569040615,2R/22MF
3,length,FIS · curve,0.5786413440467495,0.9027027027027027,185,185,709.1205000033369,51,212937.3845000982,2R/25MF
3,length,FIS · agg,0.5896859021183345,1.0,185,185,752.8697999950964,45,225623.51342740064,2R/22MF
3,length,OneClassSVM · deltaref,0.6143170197224251,0.8756756756756757,185,185,1.3575000048149377,361,203062.3998143846,40SV
3,length,Mahalanobis · stats,0.8512198685171658,0.5405405405405406,185,185,0.7556000055046752,209,491106.97952885093,19f
3,length,mean entropy,0.8540832724616507,0.6162162162162163,185,185,0.0,0,1051136.398881239,threshold
3,length,perplexity,0.831146822498174,0.6,185,185,0.0,0,1834407.5965126771,threshold
3,length,n_tokens (control),0.5,0.9459459459459459,185,185,0.0,0,1839880.6259827155,threshold
3,length+template,FIS · centroid,0.6326188016528925,1.0,176,176,716.3727000006475,55,178508.03816443635,2R/27MF
3,length+template,FIS · delta,0.5105888429752066,1.0,176,176,765.5444999982137,45,220427.0762568195,2R/22MF
3,length+template,FIS · deltaref,0.6271468233471075,1.0,176,176,735.214200001792,67,183601.08463436237,2R/33MF
3,length+template,FIS · geom,0.5860989152892563,1.0,176,176,728.8178000017069,45,198042.0838626858,2R/22MF
3,length+template,FIS · curve,0.5076188016528926,0.8806818181818182,176,176,709.1205000033369,51,213333.33260784246,2R/25MF
3,length+template,FIS · agg,0.681769757231405,1.0,176,176,752.8697999950964,45,365790.2966484533,2R/22MF
3,length+template,OneClassSVM · deltaref,0.6059207128099173,0.875,176,176,1.3575000048149377,361,373554.0694157087,40SV
3,length+template,Mahalanobis · stats,0.8406831095041323,0.6761363636363636,176,176,0.7556000055046752,209,915951.0767516778,19f
3,length+template,mean entropy,0.8484310433884298,0.6136363636363636,176,176,0.0,0,2338870.488151695,threshold
3,length+template,perplexity,0.8386492768595041,0.5738636363636364,176,176,0.0,0,2429261.359413095,threshold
3,length+template,n_tokens (control),0.5,0.9545454545454546,176,176,0.0,0,3317624.646344185,threshold
3,length+template+entropy,FIS · centroid,0.5816306288434834,1.0,142,142,716.3727000006475,55,356649.4995556394,2R/27MF
3,length+template+entropy,FIS · delta,0.49933048998214635,1.0,142,142,765.5444999982137,45,409989.89922339574,2R/22MF
3,length+template+entropy,FIS · deltaref,0.6212061098988296,1.0,142,142,735.214200001792,67,380646.0304023664,2R/33MF
3,length+template+entropy,FIS · geom,0.5670005951200159,1.0,142,142,728.8178000017069,45,438406.91600604425,2R/22MF
3,length+template+entropy,FIS · curve,0.5336490775639754,0.8661971830985915,142,142,709.1205000033369,51,414477.5200526112,2R/25MF
3,length+template+entropy,FIS · agg,0.6474409839317596,1.0,142,142,752.8697999950964,45,456224.89179333946,2R/22MF
3,length+template+entropy,OneClassSVM · deltaref,0.6018151160484031,0.7183098591549296,142,142,1.3575000048149377,361,313950.9157921723,40SV
3,length+template+entropy,Mahalanobis · stats,0.7995933346558224,0.6267605633802817,142,142,0.7556000055046752,209,738621.581024666,19f
3,length+template+entropy,mean entropy,0.6349930569331481,0.676056338028169,142,142,0.0,0,2094395.2904404541,threshold
3,length+template+entropy,perplexity,0.6096508629240229,0.6619718309859155,142,142,0.0,0,2465277.6905787974,threshold
3,length+template+entropy,n_tokens (control),0.5,0.9577464788732394,142,142,0.0,0,2331691.092857579,threshold
4,raw,FIS · centroid,0.5725915076697746,1.0,188,1627,765.5208000069251,61,1235198.0414338205,2R/30MF
4,raw,FIS · delta,0.5396238998809975,1.0,188,1627,761.70830000774,45,1603215.276298146,2R/22MF
4,raw,FIS · deltaref,0.5664632073127673,1.0,188,1627,787.7797999972245,57,1111247.1619029169,2R/28MF
4,raw,FIS · geom,0.6542193568635656,1.0,188,1627,727.1426000079373,41,1293011.3204283614,2R/20MF
4,raw,FIS · curve,0.5469749179406034,1.0,188,1627,706.7691999982344,47,1235450.2790180924,2R/23MF
4,raw,FIS · agg,0.6019301939347972,1.0,188,1627,688.8728000049014,37,1250516.7491586679,2R/18MF
4,raw,OneClassSVM · deltaref,0.620954242895814,0.8723404255319149,188,1627,1.490199996624142,343,390456.9310012068,38SV
4,raw,Mahalanobis · stats,0.8548039074657705,0.5478723404255319,188,1627,0.7779000006848946,209,2037265.680531282,19f
4,raw,mean entropy,0.8722521544678236,0.48404255319148937,188,1627,0.0,0,4430070.723508997,threshold
4,raw,perplexity,0.8525055905007257,0.5372340425531915,188,1627,0.0,0,5242634.281489102,threshold
4,raw,n_tokens (control),0.4569367979181106,0.9627659574468085,188,1627,0.0,0,6337290.224971889,threshold
4,length,FIS · centroid,0.538903349932096,1.0,188,188,765.5208000069251,61,180508.88147284105,2R/30MF
4,length,FIS · delta,0.5066489361702129,1.0,188,188,761.70830000774,45,215435.74125245673,2R/22MF
4,length,FIS · deltaref,0.5419307378904481,1.0,188,188,787.7797999972245,57,195690.64164801597,2R/28MF
4,length,FIS · geom,0.6635638297872342,1.0,188,188,727.1426000079373,41,220114.74096352217,2R/20MF
