seed,condition,detector,whitened,auroc,fpr95,n_neg,n_pos,train_ms,n_params,structure,samples_per_sec
0,length+template,FIS · stats,False,0.7603764643515488,0.9519038076152304,499,499,1130.7081999984803,75,4R/37MF/6ant,773523.4837258845
0,length+template,Mahalanobis · stats,False,0.8391291601238549,0.6292585170340681,499,499,1.7714999994495884,209,19f full cov,1675621.2363784201
0,length+template,OneClassSVM · stats,False,0.7077843060871243,0.9378757515030061,499,499,4.019300002255477,1701,85SV,251746.8411290476
0,length+template,IsolationForest · stats,False,0.8309364219420805,0.5991983967935872,499,499,121.13980000140145,10674,100 trees,186622.28659285925
0,length+template,mean entropy,False,0.8444182955088533,0.5571142284569138,499,499,0.0,0,threshold,3213135.9374513132
0,length+template,perplexity,False,0.8231894651025499,0.5851703406813628,499,499,0.0,0,threshold,3936883.708870991
0,length+template,n_tokens (control),False,0.5,0.9498997995991983,499,499,0.0,0,threshold,4489428.899327777
0,length+template+entropy,FIS · stats,False,0.6814489619377162,0.9529411764705882,340,340,1130.7081999984803,75,4R/37MF/6ant,653406.3559789676
0,length+template+entropy,Mahalanobis · stats,False,0.7655017301038062,0.788235294117647,340,340,1.7714999994495884,209,19f full cov,1474414.5553631112
0,length+template+entropy,OneClassSVM · stats,False,0.6317560553633218,0.9352941176470588,340,340,4.019300002255477,1701,85SV,246421.45323066652
0,length+template+entropy,IsolationForest · stats,False,0.7034861591695502,0.7647058823529411,340,340,121.13980000140145,10674,100 trees,150332.7217435066
0,length+template+entropy,mean entropy,False,0.5847145328719723,0.7617647058823529,340,340,0.0,0,threshold,3480041.1371257436
0,length+template+entropy,perplexity,False,0.5637889273356401,0.8,340,340,0.0,0,threshold,1700425.0906048666
0,length+template+entropy,n_tokens (control),False,0.5,0.9764705882352941,340,340,0.0,0,threshold,3474706.337242621
1,length+template,FIS · stats,False,0.8113839977679955,0.7874015748031497,508,508,1064.242699998431,83,4R/41MF/6ant,829726.4116816523
1,length+template,Mahalanobis · stats,False,0.8120504991009982,0.734251968503937,508,508,1.3430999970296398,209,19f full cov,1860465.12845139
1,length+template,OneClassSVM · stats,False,0.706968038936078,0.9350393700787402,508,508,3.2973999914247543,1621,81SV,279312.71436006634
