warn_rate,n_flagged,precision,recall,false_alarms
1%,11,0.8181818181818182,0.012569832402234637,2
2%,22,0.9090909090909091,0.027932960893854747,2
5%,54,0.9629629629629629,0.07262569832402235,2
10%,107,0.9813084112149533,0.14664804469273743,2
20%,214,0.9392523364485982,0.2807262569832402,13
