seed,whiten,top_n,K,tnorm,sconorm,val_auroc
0,False,6,4,minimum,minimum,0.8861626519097222
1,False,6,4,minimum,minimum,0.8895826107064401
2,False,12,4,dombi2,einstein,0.8993448644499876
3,False,8,4,product,product,0.891273557636721
4,False,6,4,dombi2,einstein,0.8878173828125001
5,False,8,3,minimum,minimum,0.8764916115311908
6,False,6,4,minimum,minimum,0.9122714681440445
7,False,6,4,dombi2,einstein,0.8689507378472222
