pooling,l2,k,layer,val_tq,val_fp
prompt,False,32,28,0.4655305908630377,0.4057136045772409
prompt,False,32,30,0.462197487795892,0.3313811188811189
prompt,False,32,32,0.38278875379939203,0.20401700572155115
prompt,False,64,0,0.5,0.5
prompt,False,64,2,0.5826439739338676,0.598128575969485
prompt,False,64,4,0.5661972114764668,0.6262198029243484
prompt,False,64,6,0.5296942640692641,0.6268475842339478
prompt,False,64,8,0.5285357373123329,0.6929831532104259
prompt,False,64,10,0.5423286819563415,0.5895859821996186
prompt,False,64,12,0.5744018835774155,0.6160163699936427
prompt,False,64,14,0.5774629847103252,0.6200691354100445
prompt,False,64,16,0.5601124274661509,0.6686347743165926
prompt,False,64,18,0.5823316754167818,0.7783375715193896
prompt,False,64,20,0.595278391820945,0.7694373808010172
prompt,False,64,22,0.5693619323938472,0.7120112841703752
prompt,False,64,24,0.5556049668416689,0.5817267959313415
prompt,False,64,26,0.5258588928801695,0.5024713922441195
prompt,False,64,28,0.451359146172976,0.42122536554354734
prompt,False,64,30,0.44243777056277056,0.34114351557533373
prompt,False,64,32,0.36219288247213777,0.21446280991735536
prompt,True,8,0,0.5,0.5
prompt,True,8,2,0.5303346919038409,0.3703591862682772
prompt,True,8,4,0.5579033112277794,0.6500437062937063
prompt,True,8,6,0.48505860274477297,0.5805189129052765
prompt,True,8,8,0.49567387399834206,0.607016846789574
prompt,True,8,10,0.49437287003776365,0.6340988556897647
prompt,True,8,12,0.5004447015750207,0.6212492053401144
prompt,True,8,14,0.5251939992631482,0.5156309599491418
prompt,True,8,16,0.548599118080501,0.556404958677686
prompt,True,8,18,0.5519984226766141,0.6111172917991099
prompt,True,8,20,0.5499188311688312,0.6426414494596312
prompt,True,8,22,0.5288221308833011,0.6530038143674507
prompt,True,8,24,0.5513090632771485,0.614649554990464
prompt,True,8,26,0.5441348323662153,0.5738397965670694
prompt,True,8,28,0.5270202979644469,0.3798315321042593
prompt,True,8,30,0.49806576402321084,0.32138827082008903
prompt,True,8,32,0.4216706387584047,0.2789295931341386
prompt,True,16,0,0.5,0.5
prompt,True,16,2,0.5751847886156397,0.4724173553719008
