family,detector,norm,K,top_n,silhouette,mfs,nonfinite,auroc,auprc,fpr@95tpr
TriviaQA,FIS hidden only,min/max,16,8,0.009307924658060074,184,0.0,0.540772248866999,0.8727795487993628,0.9490084985835694
FalsePremise,FIS hidden only,min/max,16,8,0.009307924658060074,184,0.0,0.7032696598983967,0.8326984819539015,0.773371104815864
TriviaQA,FIS hidden only,probability,16,8,0.009307924658060074,184,0.0,0.5386569310383427,0.8724256035678751,0.9461756373937678
FalsePremise,FIS hidden only,probability,16,8,0.009307924658060074,184,0.0,0.707166822289395,0.8431548465303917,0.7790368271954674
TriviaQA,FIS hidden only,hamacher,16,8,0.009307924658060074,184,1.0,,,
FalsePremise,FIS hidden only,hamacher,16,8,0.009307924658060074,184,1.0,,,
TriviaQA,FIS hidden only,min/max,16,12,0.009307924658060074,268,0.0,0.5483136295926363,0.8727871279672301,0.9376770538243626
FalsePremise,FIS hidden only,min/max,16,12,0.009307924658060074,268,0.0,0.6385886337379525,0.8131575778053386,0.8895184135977338
TriviaQA,FIS hidden only,probability,16,12,0.009307924658060074,268,0.0,0.5503170106569539,0.8753920438897312,0.9235127478753541
FalsePremise,FIS hidden only,probability,16,12,0.009307924658060074,268,0.0,0.6746126576669251,0.8236901712231006,0.8583569405099151
TriviaQA,FIS hidden only,hamacher,16,12,0.009307924658060074,268,1.0,,,
FalsePremise,FIS hidden only,hamacher,16,12,0.009307924658060074,268,1.0,,,
TriviaQA,FIS hidden only,min/max,16,24,0.009307924658060074,527,0.0,0.5793889974771175,0.8811750519172352,0.9121813031161473
FalsePremise,FIS hidden only,min/max,16,24,0.009307924658060074,527,0.0,0.6210889898238562,0.8047140539221134,0.8526912181303116
TriviaQA,FIS hidden only,probability,16,24,0.009307924658060074,527,0.0,0.5777745249145405,0.8827842702495683,0.9206798866855525
FalsePremise,FIS hidden only,probability,16,24,0.009307924658060074,527,0.0,0.7514243436149841,0.8688305307869189,0.7705382436260623
TriviaQA,FIS hidden only,hamacher,16,24,0.009307924658060074,527,1.0,,,
FalsePremise,FIS hidden only,hamacher,16,24,0.009307924658060074,527,1.0,,,
TriviaQA,FIS hidden only,min/max,16,48,0.009307924658060074,1044,0.0,0.581287617210708,0.8815610322854899,0.9150141643059491
FalsePremise,FIS hidden only,min/max,16,48,0.009307924658060074,1044,0.0,0.7383915995378796,0.8759446391311425,0.9546742209631728
TriviaQA,FIS hidden only,probability,16,48,0.009307924658060074,1044,0.0,0.5814275381661314,0.8791923934709907,0.9008498583569405
FalsePremise,FIS hidden only,probability,16,48,0.009307924658060074,1044,0.0,0.7596578410116005,0.8695218623176153,0.8838526912181303
TriviaQA,FIS hidden only,hamacher,16,48,0.009307924658060074,1044,1.0,,,
FalsePremise,FIS hidden only,hamacher,16,48,0.009307924658060074,1044,1.0,,,
