variant,family,tnorm,sconorm,matched,nonfinite,auroc,auprc,fpr@95tpr
fused,TriviaQA,minimum,einstein,False,0.0,0.6323594834835868,0.9046833593467796,1.0
fused,TriviaQA,minimum,product,False,0.0,0.628448872165345,0.9058335234094878,1.0
fused,TriviaQA,minimum,hamacher,False,0.0,0.6332406267310734,0.9073328908687952,1.0
fused,TriviaQA,minimum,minimum,True,0.0,0.6275139131657727,0.9063209966509971,1.0
fused,TriviaQA,minimum,yager2,False,0.0,0.6262230526590724,0.898647003182938,1.0
fused,TriviaQA,minimum,yager3,False,0.0,0.6269606872343296,0.9027815453953363,1.0
fused,TriviaQA,minimum,dombi2,False,0.0,0.6318572031307852,0.9063114595408275,1.0
fused,TriviaQA,minimum,ss2,False,0.0,,,
fused,TriviaQA,yager2,drastic,False,0.0,,,
fused,TriviaQA,yager2,lukasiewicz,False,0.0,,,
fused,TriviaQA,yager2,nilpotent,False,0.0,,,
fused,TriviaQA,yager2,einstein,False,0.0,0.6157820792110467,0.8849985191251271,1.0
fused,TriviaQA,yager2,product,False,0.0,0.6127791602446535,0.8843510995591658,1.0
fused,TriviaQA,yager2,hamacher,False,0.0,0.6119848397438656,0.8845700508673814,1.0
fused,TriviaQA,yager2,minimum,False,0.0,0.6006325862271857,0.8804974476441212,0.9008498583569405
fused,TriviaQA,yager2,yager2,True,0.0,0.6120630519702306,0.8838712696570209,1.0
fused,TriviaQA,yager2,yager3,False,0.0,0.6081007775299861,0.8833564508933799,1.0
fused,TriviaQA,yager2,dombi2,False,0.0,0.6072784728381136,0.8832515644395281,0.9008498583569405
fused,TriviaQA,yager2,ss2,False,0.0,,,
fused,TriviaQA,yager3,drastic,False,0.0,,,
fused,TriviaQA,yager3,lukasiewicz,False,0.0,,,
fused,TriviaQA,yager3,nilpotent,False,0.0,,,
fused,TriviaQA,yager3,einstein,False,0.0,0.6267253330118739,0.8903498265101093,1.0
fused,TriviaQA,yager3,product,False,0.0,0.6265201156105864,0.8910625726383665,1.0
fused,TriviaQA,yager3,hamacher,False,0.0,0.6238580297407372,0.8914717524535309,1.0
fused,TriviaQA,yager3,minimum,False,0.0,0.6162004069905944,0.8892494048217748,1.0
fused,TriviaQA,yager3,yager2,False,0.0,0.6194889082147235,0.8881789744971397,1.0
fused,TriviaQA,yager3,yager3,True,0.0,0.6193159802646874,0.8900976560915653,1.0
fused,TriviaQA,yager3,dombi2,False,0.0,0.6177847427320033,0.8893594280740722,1.0
fused,TriviaQA,yager3,ss2,False,0.0,,,
fused,TriviaQA,dombi2,drastic,False,0.0,,,
fused,TriviaQA,dombi2,lukasiewicz,False,0.0,,,
fused,TriviaQA,dombi2,nilpotent,False,0.0,,,
fused,TriviaQA,dombi2,einstein,False,0.0,0.6395801223267923,0.9066510377201594,1.0
fused,TriviaQA,dombi2,product,False,0.0,0.6361387843667393,0.9076286819422857,1.0
fused,TriviaQA,dombi2,hamacher,False,0.0,0.6355389181168218,0.9082938475381253,0.9631728045325779
fused,TriviaQA,dombi2,minimum,False,0.0,0.6309057406339065,0.9073160111695311,1.0
fused,TriviaQA,dombi2,yager2,False,0.0,0.6260816966169266,0.9014222270598629,1.0
fused,TriviaQA,dombi2,yager3,False,0.0,0.6317739681008924,0.9064238410425052,1.0
fused,TriviaQA,dombi2,dombi2,True,0.0,0.632888312940751,0.9075695980606466,1.0
fused,TriviaQA,dombi2,ss2,False,0.0,,,
fused,TriviaQA,ss2,drastic,False,0.0,,,
fused,TriviaQA,ss2,lukasiewicz,False,0.0,,,
fused,TriviaQA,ss2,nilpotent,False,0.0,,,
fused,TriviaQA,ss2,einstein,False,0.0,0.5000710367927533,0.8483245222387401,0.9886685552407932
fused,TriviaQA,ss2,product,False,0.0,0.4994259653110838,0.8481557520195305,0.9915014164305949
fused,TriviaQA,ss2,hamacher,False,0.0,0.4999282456638855,0.8482861560806697,0.9915014164305949
fused,TriviaQA,ss2,minimum,False,0.0,0.4999282456638855,0.8482861560806697,0.9915014164305949
fused,TriviaQA,ss2,yager2,False,0.0,0.4994216600509169,0.8481563304026104,0.9915014164305949
fused,TriviaQA,ss2,yager3,False,0.0,0.49967638794412345,0.8482209793126325,0.9915014164305949
fused,TriviaQA,ss2,dombi2,False,0.0,0.4999282456638855,0.8482861560806697,0.9915014164305949
fused,TriviaQA,ss2,ss2,True,0.0,,,
fused,FalsePremise,drastic,drastic,True,0.0,,,
fused,FalsePremise,drastic,lukasiewicz,False,0.0,,,
fused,FalsePremise,drastic,nilpotent,False,0.0,,,
fused,FalsePremise,drastic,einstein,False,0.0,,,
fused,FalsePremise,drastic,product,False,0.0,,,
fused,FalsePremise,drastic,hamacher,False,0.0,,,
fused,FalsePremise,drastic,minimum,False,0.0,,,
fused,FalsePremise,drastic,yager2,False,0.0,,,
fused,FalsePremise,drastic,yager3,False,0.0,,,
fused,FalsePremise,drastic,dombi2,False,0.0,,,
fused,FalsePremise,drastic,ss2,False,0.0,,,
fused,FalsePremise,lukasiewicz,drastic,False,0.0,,,
fused,FalsePremise,lukasiewicz,lukasiewicz,True,0.0,,,
fused,FalsePremise,lukasiewicz,nilpotent,False,0.0,,,
fused,FalsePremise,lukasiewicz,einstein,False,0.0,0.5603328216247013,0.6976644456150092,0.8725212464589235
fused,FalsePremise,lukasiewicz,product,False,0.0,0.5503188947093547,0.6928586985328102,0.8951841359773371
fused,FalsePremise,lukasiewicz,hamacher,False,0.0,0.5390111890103977,0.6875300680731335,0.9178470254957507
fused,FalsePremise,lukasiewicz,minimum,False,0.0,0.5376046496906008,0.6868713606039953,0.9206798866855525
fused,FalsePremise,lukasiewicz,yager2,False,0.0,0.5389993194802728,0.6875247879958332,0.9178470254957507
fused,FalsePremise,lukasiewicz,yager3,False,0.0,0.5390151455204393,0.6875309746992645,0.9178470254957507
fused,FalsePremise,lukasiewicz,dombi2,False,0.0,0.5376046496906008,0.6868713606039953,0.9206798866855525
fused,FalsePremise,lukasiewicz,ss2,False,0.0,,,
fused,FalsePremise,nilpotent,drastic,False,0.0,,,
fused,FalsePremise,nilpotent,lukasiewicz,False,0.0,,,
fused,FalsePremise,nilpotent,nilpotent,True,0.0,,,
fused,FalsePremise,nilpotent,einstein,False,0.0,0.725139269153465,0.7898595125135813,1.0
fused,FalsePremise,nilpotent,product,False,0.0,0.7193449601975089,0.7858550458900925,1.0
fused,FalsePremise,nilpotent,hamacher,False,0.0,0.7200452624748761,0.7863240981231517,1.0
fused,FalsePremise,nilpotent,minimum,False,0.0,0.6818550492981152,0.7637783557144882,0.6912181303116147
fused,FalsePremise,nilpotent,yager2,False,0.0,0.7158751008910061,0.7831392326564595,1.0
fused,FalsePremise,nilpotent,yager3,False,0.0,0.7033388988241254,0.7754641461841727,1.0
fused,FalsePremise,nilpotent,dombi2,False,0.0,0.6935208191558391,0.7704412783760652,1.0
fused,FalsePremise,nilpotent,ss2,False,0.0,,,
fused,FalsePremise,einstein,drastic,False,0.0,,,
fused,FalsePremise,einstein,lukasiewicz,False,0.0,,,
fused,FalsePremise,einstein,nilpotent,False,0.0,,,
fused,FalsePremise,einstein,einstein,True,0.0,0.7826372513333438,0.8484782083840886,0.5835694050991501
