N (points),classical VAT (s),pVAT (s),speedup
256,0.276 ± 0.009 s,0.010 ± 0.025 s,26x
512,1.886 ± 0.053 s,0.006 ± 0.000 s,301x
"1,024",15.490 ± 1.641 s,0.021 ± 0.002 s,750x
"2,048",infeasible (>cap),0.084 ± 0.008 s,N/A
"4,096",infeasible (>cap),0.239 ± 0.007 s,N/A
