Model,Hyperparameters,raw features,log + min-max,log + z-score,Δ min-max − raw,Δ z-score − raw,Δ z-score − min-max,RMSE raw (MPa),RMSE log+min-max (MPa),RMSE log+z-score (MPa)
CART (reference),sklearn default,0.825 ± 0.047,0.826 ± 0.046,0.826 ± 0.046,+0.001,+0.001,+0.000,6.744 ± 0.739,6.731 ± 0.726,6.730 ± 0.725
Random Forest (reference),sklearn default,0.909 ± 0.018,0.909 ± 0.020,0.909 ± 0.020,+0.001,+0.001,+0.000,4.904 ± 0.307,4.883 ± 0.332,4.883 ± 0.332
flat MoG-TSK 1st,pipeline default,0.687 ± 0.031,0.795 ± 0.019,0.725 ± 0.034,+0.109,+0.038,-0.071,9.180 ± 0.529,7.418 ± 0.334,8.595 ± 0.466
flat MoG-TSK 2nd,pipeline default,0.806 ± 0.018,0.840 ± 0.013,0.828 ± 0.017,+0.033,+0.022,-0.011,7.217 ± 0.427,6.570 ± 0.304,6.792 ± 0.333
flat MoG-TSK full-2nd,pipeline default,0.834 ± 0.020,0.871 ± 0.017,0.858 ± 0.018,+0.037,+0.024,-0.013,6.684 ± 0.461,5.890 ± 0.372,6.182 ± 0.417
fuzzy tree,demo-tuned,0.712 ± 0.030,0.741 ± 0.052,0.741 ± 0.052,+0.028,+0.029,+0.001,8.764 ± 0.521,8.281 ± 0.627,8.271 ± 0.634
fuzzy tree,library default,0.583 ± 0.067,0.687 ± 0.057,0.689 ± 0.057,+0.104,+0.106,+0.001,10.531 ± 0.889,9.090 ± 0.593,9.069 ± 0.594
mixture of experts,demo-tuned,0.774 ± 0.025,0.835 ± 0.024,0.811 ± 0.025,+0.061,+0.038,-0.024,7.771 ± 0.441,6.626 ± 0.442,7.090 ± 0.426
mixture of experts,library default,0.648 ± 0.093,0.772 ± 0.063,0.760 ± 0.066,+0.124,+0.112,-0.012,9.603 ± 1.207,7.712 ± 0.925,7.910 ± 0.927
