λ,target skew,uniform R²,quantile R²,Q − U,uniform tail RMSE,quantile tail RMSE,uniform min bucket n
0.01,+0.05,0.912 ± 0.011,0.911 ± 0.010,-0.001,0.053 ± 0.006,0.052 ± 0.007,10
0.50,+1.84,0.885 ± 0.017,0.876 ± 0.037,-0.009,0.067 ± 0.020,0.064 ± 0.015,1
1.00,+5.32,0.705 ± 0.105,0.728 ± 0.181,+0.023,0.090 ± 0.046,0.071 ± 0.030,0
1.50,+10.44,0.370 ± 0.124,0.183 ± 0.849,-0.187,0.103 ± 0.071,0.073 ± 0.049,0
2.00,+14.71,0.211 ± 0.111,-2.105 ± 4.403,-2.316,0.092 ± 0.088,0.077 ± 0.070,0
2.50,+17.71,0.029 ± 0.215,-12.592 ± 24.645,-12.621,0.091 ± 0.121,0.082 ± 0.096,0
