Features kept,wasserstein (acc / fit s),bhattacharyya (acc / fit s),composite (acc / fit s)
1,0.9967 / 0.44,0.4267 / 0.15,0.4267 / 0.19
2,0.9967 / 0.25,0.4527 / 0.17,0.9967 / 0.27
3,0.9967 / 0.26,0.8447 / 0.27,0.9967 / 0.27
4,0.9967 / 0.29,0.9160 / 0.33,0.9966 / 0.35
5,0.9965 / 0.32,0.9467 / 0.38,0.9966 / 0.42
7,0.9998 / 0.34,0.9632 / 0.48,0.9967 / 0.49
10,0.9997 / 0.41,0.9701 / 0.60,0.9983 / 0.62
15,0.9957 / 0.62,0.9788 / 0.79,0.9999 / 0.73
20,0.9984 / 0.77,0.9796 / 0.88,0.9991 / 0.95
