arm,init,seed,cv_mse_0,cv_mse,improvement,beat_start,r2_0,r2,heuristic_r2,heuristic_cv,evals_to_heuristic,rmse_0,rmse,evals,seconds,init_seconds,construction_seconds,error
opt-ga,cold,0,0.006495,0.004588,0.293606,1,0.862517,0.879690,0.858037,0.006256,1,6.0175,5.6292,2000,27.67,0.0000,0.6495,
opt-ga,cold,1,0.006025,0.004353,0.277421,1,0.819187,0.866400,0.832372,0.005528,26,6.8657,5.9016,2000,26.60,0.0000,0.7399,
opt-ga,cold,2,0.006439,0.004427,0.312509,1,0.835648,0.819019,0.808888,0.006182,1,6.3587,6.6727,2000,26.84,0.0000,0.6748,
opt-ga,cold,3,0.006382,0.004569,0.284074,1,0.867659,0.895936,0.858451,0.005990,4,6.2242,5.5193,2000,27.22,0.0000,0.8183,
opt-ga,cold,4,0.006222,0.004487,0.278878,1,0.845693,0.861827,0.755459,0.007497,0,6.8329,6.4658,2000,29.55,0.0000,0.7370,
opt-ga,cold,5,0.006533,0.004794,0.266254,1,0.811983,0.844243,0.842144,0.006414,1,6.6406,6.0441,2000,29.84,0.0000,0.6773,
opt-ga,cold,6,0.005782,0.004635,0.198269,1,0.890228,0.887534,0.862466,0.006464,0,5.9571,6.0297,2000,31.32,0.0000,0.6818,
opt-ga,cold,7,0.005357,0.004366,0.185032,1,0.846885,0.845814,0.870453,0.006181,0,6.3711,6.3934,2000,30.38,0.0000,0.6802,
opt-ga,cold,8,0.006406,0.004704,0.265696,1,0.871015,0.897744,0.872438,0.006707,0,5.7962,5.1608,2000,31.07,0.0000,0.7043,
opt-ga,cold,9,0.006225,0.004558,0.267669,1,0.859335,0.888667,0.849755,0.006677,0,5.8264,5.1835,2000,31.73,0.0000,0.8043,
scipy-lbfgsb,cold,0,0.006495,0.004882,0.248387,1,0.862517,0.887299,0.858037,0.006256,581,6.0175,5.4483,2000,32.95,0.0000,0.6495,
scipy-lbfgsb,cold,1,0.006025,0.005261,0.126701,1,0.819187,0.824256,0.832372,0.005528,859,6.8657,6.7687,2000,30.89,0.0000,0.7399,
scipy-lbfgsb,cold,2,0.006439,0.005465,0.151230,1,0.835648,0.859064,0.808888,0.006182,291,6.3587,5.8884,2000,35.81,0.0000,0.6748,
