Features kept,wasserstein (acc / fit s),bhattacharyya (acc / fit s),composite (acc / fit s)
1,0.9967 / 0.54,0.4267 / 0.24,0.4267 / 0.29
2,0.9967 / 0.41,0.4527 / 0.34,0.9967 / 0.42
3,0.9967 / 0.49,0.8455 / 0.51,0.9967 / 0.49
4,0.9967 / 0.57,0.9160 / 0.68,0.9966 / 0.68
5,0.9966 / 0.69,0.9456 / 0.89,0.9966 / 0.83
7,0.9998 / 0.86,0.9610 / 1.25,0.9967 / 1.15
10,0.9995 / 1.15,0.9676 / 1.69,0.9980 / 1.62
15,0.9974 / 1.84,0.9765 / 2.75,0.9999 / 2.37
20,0.9990 / 2.51,0.9777 / 3.33,0.9995 / 3.28
