N (points),classical VAT (s),pVAT (s),speedup
256,0.275 ± 0.014 s,0.010 ± 0.023 s,29x
512,1.862 ± 0.038 s,0.006 ± 0.001 s,304x
"1,024",13.691 ± 0.120 s,0.021 ± 0.001 s,660x
"2,048",infeasible (>cap),0.073 ± 0.002 s,N/A
"4,096",infeasible (>cap),0.228 ± 0.008 s,N/A
