Dataset,metric,flat,fuzzy tree,mixture (HME),CART,Random Forest,M5
California Housing,R2,0.631 ± 0.020,0.474 ± 0.014,0.493 ± 0.043,0.603 ± 0.019,0.809 ± 0.008,N/A
California Housing,RMSE,0.700 ± 0.017,0.837 ± 0.010,0.821 ± 0.035,0.726 ± 0.015,0.504 ± 0.009,N/A
California Housing,fit (s),0.73 ± 0.43,0.30 ± 0.05,3.70 ± 0.31,0.12 ± 0.01,13.69 ± 0.85,N/A
Superconductivity (decorrelated),R2,-0.261 ± 1.431,0.730 ± 0.010,-0.766 ± 2.411,0.873 ± 0.008,0.923 ± 0.004,N/A
Superconductivity (decorrelated),RMSE,35.302 ± 15.143,17.779 ± 0.313,40.457 ± 20.812,12.190 ± 0.398,9.515 ± 0.265,N/A
Superconductivity (decorrelated),fit (s),4.44 ± 1.04,1.43 ± 0.29,26.59 ± 3.66,0.45 ± 0.06,59.25 ± 8.07,N/A
