N (points),classical VAT (s),pVAT (s),speedup
256,0.213 ± 0.005 s,0.032 ± 0.053 s,7x
512,1.720 ± 0.042 s,0.004 ± 0.000 s,425x
"1,024",12.950 ± 0.123 s,0.014 ± 0.000 s,947x
"2,048",infeasible (>cap),0.046 ± 0.002 s,N/A
"4,096",infeasible (>cap),0.161 ± 0.006 s,N/A
