Dataset (task),MoG train time,MoG accuracy / R2,ANFIS,GA-tuned FIS,tree / RF ref
Concrete (regression),0.45 ± 0.05 s,R2=0.799 ± 0.027,N/A,N/A,0.909 ± 0.020
"Concrete (regression, full 2nd order)",0.45 ± 0.03 s,R2=0.852 ± 0.030,N/A,N/A,0.909 ± 0.020
Bike Sharing (regression),0.57 ± 0.03 s,R2=0.620 ± 0.014,N/A,N/A,0.944 ± 0.004
PhiUSIIL (classification),0.15 ± 0.02 s,acc=0.997 ± 0.001,N/A,N/A,1.000 ± 0.000
RT-IOT2022 (12-class),3.74 ± 0.10 s,acc=0.927 ± 0.002,N/A,N/A,0.998 ± 0.000
