Method,Detection rate,False-alarm rate,Detection − false alarm,Separate model?
**Complement rule (this work)**,0.804 ± 0.270,0.438 ± 0.085,+0.366,no
One-class SVM,0.845 ± 0.225,0.435 ± 0.061,+0.410,yes
Isolation Forest,0.966 ± 0.145,0.431 ± 0.063,+0.535,yes
