Model,Hyperparameters,raw features,log + min-max,log + z-score,Δ min-max − raw,Δ z-score − raw,Δ z-score − min-max,RMSE raw (MPa),RMSE log+min-max (MPa),RMSE log+z-score (MPa)
CART (reference),sklearn default,0.825 ± 0.047,0.826 ± 0.047,0.826 ± 0.046,+0.001,+0.001,-0.000,6.744 ± 0.739,6.726 ± 0.740,6.733 ± 0.733
Random Forest (reference),sklearn default,0.909 ± 0.018,0.909 ± 0.019,0.909 ± 0.018,+0.000,+0.000,-0.000,4.904 ± 0.307,4.899 ± 0.313,4.903 ± 0.312
flat MoG-TSK 1st,pipeline default,0.646 ± 0.039,0.772 ± 0.034,0.087 ± 0.089,+0.126,-0.559,-0.685,9.721 ± 0.594,7.803 ± 0.734,15.610 ± 0.732
flat MoG-TSK 2nd,pipeline default,0.779 ± 0.036,0.824 ± 0.043,0.781 ± 0.045,+0.044,+0.001,-0.043,7.678 ± 0.838,6.843 ± 0.944,7.639 ± 0.909
flat MoG-TSK full-2nd,pipeline default,0.790 ± 0.054,0.859 ± 0.039,0.819 ± 0.058,+0.069,+0.029,-0.040,7.436 ± 0.971,6.102 ± 0.911,6.896 ± 1.167
fuzzy tree,demo-tuned,0.712 ± 0.030,0.740 ± 0.051,0.740 ± 0.051,+0.028,+0.028,-0.000,8.764 ± 0.521,8.294 ± 0.626,8.294 ± 0.626
fuzzy tree,library default,0.583 ± 0.067,0.689 ± 0.056,0.691 ± 0.055,+0.106,+0.108,+0.002,10.531 ± 0.889,9.066 ± 0.575,9.039 ± 0.572
mixture of experts,demo-tuned,0.768 ± 0.029,0.834 ± 0.025,0.706 ± 0.024,+0.066,-0.063,-0.128,7.863 ± 0.459,6.661 ± 0.570,8.873 ± 0.403
mixture of experts,library default,0.686 ± 0.060,0.763 ± 0.057,0.730 ± 0.067,+0.077,+0.044,-0.034,9.114 ± 0.738,7.905 ± 0.932,8.443 ± 1.019
