Features kept,wasserstein (acc / fit s),bhattacharyya (acc / fit s),composite (acc / fit s)
1,0.9967 / 0.38,0.4267 / 0.29,0.4267 / 0.35
2,0.9967 / 0.49,0.4527 / 0.43,0.9967 / 0.50
3,0.9967 / 0.62,0.8455 / 0.65,0.9967 / 0.63
4,0.9967 / 0.74,0.9160 / 0.88,0.9966 / 0.87
5,0.9966 / 0.93,0.9456 / 1.15,0.9966 / 1.11
7,0.9998 / 1.16,0.9610 / 1.60,0.9967 / 1.52
10,0.9995 / 1.60,0.9676 / 2.30,0.9980 / 2.13
15,0.9974 / 2.57,0.9765 / 3.62,0.9999 / 3.18
20,0.9990 / 3.50,0.9777 / 4.43,0.9995 / 4.39
